Model,Accuracy,Precision,Recall,F1,AUC
ANN (Keras),0.9731543624161074,0.7945205479452054,0.6373626373626373,0.7073170731707316,0.9358920396044733
SVM (Linear),0.9692393736017897,0.7142857142857143,0.6593406593406593,0.6857142857142857,0.8748599661976209
Logistic Regression,0.9602908277404921,0.5961538461538461,0.6813186813186813,0.635897435897436,0.9441354167341204
Naive Bayes,0.9049217002237137,0.329004329004329,0.8351648351648352,0.47204968944099385,0.9329068103375705
